locale,PRODUCT_ID,DESCRIPTION
E,PRD00000,Wireless Bluetooth Headphones
D,PRD00000,Kabellose Bluetooth-Kopfhörer
F,PRD00000,Écouteurs sans fil Bluetooth
E,PRD00001,Smart LED TV 42 inch
D,PRD00001,Smart-LED-Fernseher 42 Zoll
F,PRD00001,Téléviseur intelligent LED 42 pouces
E,PRD00002,Stainless Steel Water Bottle 1L
D,PRD00002,Edelstahl-Wasserflasche 1L
F,PRD00002,Bouteille d'eau en acier inoxydable 1L
E,PRD00003,Portable Laptop Stand - Adjustable
D,PRD00003,Tragbarer Laptopständer – Verstellbar
F,PRD00003,Support d'ordinateur portable – Réglable
E,PRD00004,Ergonomic Office Chair - Black
D,PRD00004,Ergonomischer Bürostuhl – Schwarz
F,PRD00004,Chaise de bureau ergonomique – Noire
E,PRD00005,Smartphone 5G - 128GB Storage
D,PRD00005,Smartphone 5G – 128 GB Speicher
F,PRD00005,Smartphone 5G – 128 Go de stockage
E,PRD00006,USB-C Fast Charging Cable - 2m
D,PRD00006,USB-C-Schnellladekabel – 2 m
F,PRD00006,Câble de charge rapide USB-C – 2 m
E,PRD00007,Wireless Gaming Mouse
D,PRD00007,Kabellose Gaming-Maus
F,PRD00007,Souris de jeu sans fil
E,PRD00008,Noise Cancelling Headphones
D,PRD00008,Rauschunterdrückende Kopfhörer
F,PRD00008,Casque à réduction de bruit
E,PRD00009,Smart Fitness Watch - Waterproof
D,PRD00009,Intelligente Fitnessuhr – Wasserdicht
F,PRD00009,Montre de fitness intelligente – Étanche
E,PRD00010,4K Action Camera - Waterproof
D,PRD00010,4K-Actionkamera – Wasserdicht
F,PRD00010,Camera d'action 4K – Étanche
E,PRD00011,Electric Toothbrush - Rechargeable
D,PRD00011,Elektrische Zahnbürste – Wiederaufladbar
F,PRD00011,Brosse à dents électrique – Rechargeable
E,PRD00012,Compact Air Purifier
D,PRD00012,Kompakter Luftreiniger
F,PRD00012,Purificateur d'air compact
E,PRD00013,Digital Alarm Clock with Radio
D,PRD00013,Digitaler Wecker mit Radio
F,PRD00013,Réveil numérique avec radio
E,PRD00014,Stainless Steel Cookware Set
D,PRD00014,Edelstahl-Kochgeschirr-Set
F,PRD00014,Batterie de cuisine en acier inoxydable
E,PRD00015,Wireless Charging Pad
D,PRD00015,Kabelloses Ladepad
F,PRD00015,Station de charge sans fil
E,PRD00016,Robot Vacuum Cleaner
D,PRD00016,Roboterstaubsauger
F,PRD00016,Aspirateur robot
E,PRD00017,Bluetooth Soundbar Speaker
D,PRD00017,Bluetooth-Soundbar-Lautsprecher
F,PRD00017,Barre de son Bluetooth
E,PRD00018,Smart Door Lock - Keyless
D,PRD00018,Intelligentes Türschloss – Schlüssellos
F,PRD00018,Serrure intelligente – Sans clé
E,PRD00019,Wi-Fi Range Extender
D,PRD00019,WLAN-Reichweitenverstärker
F,PRD00019,Amplificateur de portée Wi-Fi
E,PRD00020,LED Desk Lamp with USB Port
